ProductId,Shape1,Size1,SL1,Shape2,Size2,SL2,Shape3,Size3,SL3,Shape4,Size4,SL4,Shape5,Size5,SL5,Shape6,Size6,SL6,Shape7,Size7,SL7,Shape8,Size8,SL8,Shape9,Size9,SL9,Shape10,Size10,SL10,new_ver
216,Round,1.4*1.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
217,Round,1.5*1.5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,, - 
218,Round,1.2*1.2,5,Round,1.5*1.5,1,Round,2.5*2.5,1,,,,,,,,,,,,,,,,,,,,,, - 
219, , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,, -   
220,Round,0.8*0.8,1,Round,1.1*1.1,1, , , , , , ,,,,,,,,,,,,,,,,,,, -   
221,Round,0.8*0.8,6,Round,1.0*1.0,2,Round,0.9*0.9,1,Round,1.1*1.1,1,,,,,,,,,,,,,,,,,,, -   
222,Round,0.9*0.9,2,Round,1.1*1.1,1,Round,0.8*0.8,2,Round,1.0*1.0,1,,,,,,,,,,,,,,,,,,, -   
223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
224,Round,1.2*1.2,3,Round,1.5*1.5,1,,,,,,,,,,,,,,,,,,,,,,,,, -   
225, , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,, -   
226, , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,, -   
227, , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,, -   
228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
229,Round,1.0*1.0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
239,Round,1.0*1.0,2,Round,0.9*0.9,1,Round,0.8*0.8,1,,,,,,,,,,,,,,,,,,,,,, -   
240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
241,Round,1.0*1.0,5,Round,1.5*1.5,14,,,,,,,,,,,,,,,,,,,,,,,,, -   
242,Round,1.0*1.0,42,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
243,Round,2.0*2.0,6,Round,1.3*1.3,12,Round,1.6*1.6,6,,,,,,,,,,,,,,,,,,,,,, -   
