ProductId,diamond_gold_18k,diamond_gold_14k,diamond_plat_900,diamond_gold_10k,cz_gold_18k,cz_gold_14k,cz_plat_900,cz_gold_10k
889," 13,530,000 "," 10,490,000 "," 16,710,000 ", -   ," 11,810,000 "," 8,770,000 "," 14,990,000 ", -   
890," 16,360,000 "," 13,160,000 "," 20,720,000 ", -   ," 12,570,000 "," 9,370,000 "," 16,750,000 ", -   
891," 18,840,000 "," 15,510,000 "," 23,310,000 ", -   ," 13,010,000 "," 9,670,000 "," 17,300,000 ", -   
892," 10,520,000 "," 8,480,000 "," 14,890,000 ", -   ," 9,390,000 "," 7,350,000 "," 13,760,000 ", -   
893," 28,140,000 "," 25,750,000 "," 32,170,000 ", -   ," 16,110,000 "," 13,710,000 "," 20,020,000 ", -   
894," 35,730,000 "," 31,620,000 "," 39,810,000 ", -   ," 22,360,000 "," 18,250,000 "," 26,320,000 ", -   
895," 27,230,000 "," 23,530,000 "," 31,050,000 ", -   ," 18,850,000 "," 15,160,000 "," 22,490,000 ", -   
896," 33,790,000 "," 30,040,000 "," 37,650,000 ", -   ," 17,390,000 "," 13,650,000 "," 21,070,000 ", -   
897," 43,810,000 "," 39,640,000 "," 47,120,000 ", -   ," 24,630,000 "," 20,450,000 "," 27,820,000 ", -   
898," 35,460,000 "," 31,020,000 "," 39,810,000 ", -   ," 25,430,000 "," 20,980,000 "," 29,660,000 ", -   
899," 28,850,000 "," 24,290,000 ", -   , -   ," 23,530,000 "," 18,970,000 ", -   , -   
900," 33,420,000 "," 28,630,000 "," 37,100,000 ", -   ," 21,210,000 "," 16,420,000 "," 24,710,000 ", -   
901," 38,680,000 "," 34,050,000 "," 43,130,000 ", -   ," 24,250,000 "," 19,620,000 "," 28,590,000 ", -   
902," 28,930,000 "," 24,450,000 "," 32,390,000 ", -   ," 23,010,000 "," 18,540,000 "," 26,360,000 ", -   
903," 48,180,000 "," 42,150,000 "," 52,500,000 ", -   ," 28,520,000 "," 22,490,000 "," 32,730,000 ", -   
904," 24,390,000 "," 19,640,000 "," 28,160,000 ", -   ," 23,910,000 "," 19,160,000 "," 27,690,000 ", -   
905," 23,350,000 "," 20,270,000 ", -   , -   ," 23,350,000 "," 20,270,000 ", -   , -   
906," 25,240,000 "," 19,740,000 "," 30,800,000 ", -   ," 23,360,000 "," 17,860,000 "," 28,150,000 ", -   
907," 23,050,000 "," 18,220,000 "," 26,800,000 ", -   ," 21,200,000 "," 16,380,000 "," 24,950,000 ", -   
908," 21,740,000 "," 16,030,000 "," 25,450,000 ", -   ," 21,740,000 "," 16,030,000 "," 25,450,000 ", -   
909," 16,570,000 "," 11,690,000 "," 19,960,000 ", -   ," 14,840,000 "," 9,950,000 "," 18,230,000 ", -   
910," 27,090,000 "," 21,100,000 "," 33,200,000 ", -   ," 25,210,000 "," 19,220,000 "," 30,490,000 ", -   
911," 17,890,000 "," 12,460,000 "," 22,220,000 ", -   ," 17,890,000 "," 12,460,000 "," 22,220,000 ", -   
912," 26,800,000 "," 20,790,000 "," 30,780,000 ", -   ," 24,950,000 "," 18,940,000 "," 28,930,000 ", -   
913," 31,860,000 "," 22,910,000 "," 36,230,000 ", -   ," 31,860,000 "," 22,910,000 "," 36,230,000 ", -   
914," 21,440,000 "," 15,260,000 "," 25,930,000 ", -   ," 20,500,000 "," 14,320,000 "," 24,990,000 ", -   
915," 26,990,000 "," 21,310,000 "," 30,850,000 ", -   ," 22,040,000 "," 16,350,000 "," 25,890,000 ", -   
916," 22,360,000 "," 16,850,000 ", -   , -   ," 18,940,000 "," 13,440,000 ", -   , -   
917," 22,070,000 "," 17,130,000 ", -   , -   ," 21,240,000 "," 16,300,000 ", -   , -   
918," 27,200,000 "," 22,980,000 "," 30,540,000 ", -   ," 20,790,000 "," 16,570,000 "," 23,950,000 ", -   
919," 38,930,000 "," 33,370,000 "," 43,060,000 ", -   ," 29,620,000 "," 24,060,000 "," 33,630,000 ", -   
920," 49,400,000 "," 43,920,000 "," 52,760,000 ", -   ," 27,680,000 "," 22,200,000 "," 30,930,000 ", -   
921," 26,550,000 "," 21,500,000 "," 30,540,000 ", -   ," 24,980,000 "," 19,930,000 "," 28,960,000 ", -   
922," 17,390,000 "," 13,680,000 "," 21,550,000 ", -   ," 17,390,000 "," 13,680,000 "," 21,550,000 ", -   
923," 24,990,000 "," 20,500,000 "," 28,060,000 ", -   ," 19,790,000 "," 15,300,000 "," 22,860,000 ", -   
924," 40,670,000 "," 34,310,000 "," 45,850,000 ", -   ," 31,510,000 "," 25,160,000 "," 36,520,000 ", -   
925," 31,740,000 "," 25,700,000 "," 36,050,000 ", -   ," 26,810,000 "," 20,780,000 "," 30,950,000 ", -   
926," 26,570,000 "," 20,910,000 ", -   , -   ," 26,570,000 "," 20,910,000 ", -   , -   
927," 30,650,000 "," 24,250,000 ", -   , -   ," 30,170,000 "," 23,770,000 ", -   , -   
928," 25,930,000 "," 20,480,000 ", -   , -   ," 23,790,000 "," 18,350,000 ", -   , -   
929," 24,340,000 "," 18,940,000 ", -   , -   ," 23,590,000 "," 18,190,000 ", -   , -   
930," 28,290,000 "," 22,400,000 ", -   , -   ," 26,330,000 "," 20,440,000 ", -   , -   
931," 17,020,000 "," 13,420,000 "," 20,670,000 ", -   ," 16,740,000 "," 13,140,000 "," 19,870,000 ", -   
