id,design_code,name,category,diameter,ring_size,main_gemstone_shape,main_gemstone_size,gold_18k_weight,gold_14k_weight,plat_900_weight,plain_or_pattern,diamond_weight,cz_weight
300,NCF0102,,NTT,,11,,,2.86,2.39,,Plain,0.09,
301,NCF0103,,NTT,,10,,,2.13,1.78,,Plain,0.21,
302,NCF0104,,NTT,,10,,,2.35,1.97,,Plain,0.48,
303,NCF0105,,NTT,,12,,,2.13,1.78,,Plain,0.35,
304,NCF0106,,NTT,,13,,,1.92,1.6,,Pattern,0.33,
305,NCF0107,,NTT,,10,,,2.35,1.96,,Plain,0.76,
306,NCF0108,,NTT,,10,,,2.51,2.09,,Plain,0.4,
307,NCF0109,,NTT,,11,,,2.54,2.12,,Plain,0.26,
308,NCF0111,,NTT,,10,,,1.68,1.4,,Plain,0.24,
309,NCF0114,,NTT,,10,,,1.66,1.39,,Plain,0,0
310,NCF0117,,NTT,,10,,,1.52,1.27,,Plain,0.26,
311,NCF0118,,NTT,,12,,,2.62,2.19,,Plain,0.24,
312,NCF0119,,NTT,,10,,,1.37,1.14,,Plain,0.34,
313,NCF0120,,NTT,,12,,,1.63,1.36,,Plain,0.24,
314,NCF0121,,NTT,,10,,,1.76,1.47,,Plain,0.45,
315,NCF0122,,NTT,,10,,,1.87,1.56,,Plain,0.6,
316,NCF0124,,NTT,,10,,,1.6,1.33,,Plain,0,0
317,NCF0125,,NTT,,10,,,4.72,3.94,,Plain,0.5,
318,NCF0126,,NTT,,10,,,2.72,2.27,,Plain,0.36,
319,NCF0127,,NTT,,10,,,1.93,1.61,,Plain,0.39,
320,NCF0128,,NTT,,10,,,1.31,1.1,,Plain,0.23,
321,NCF0129,,NTT,,10,,,0.98,0.82,,Plain,0.21,
322,NCF0131,,NTT,,10,,,1.33,1.11,,Plain,0.25,
323,NCF0132,,NTT,,10,,,1.92,1.61,,Plain,0.49,
324,NCF0133,,NTT,,10,,,3.33,2.79,,Plain,0.32,
325,NCF0134,,NTT,,10,,,2.7,2.26,,Plain,0.23,
326,NCF0135,,NTT,,10,,,2.86,2.39,,Pattern,0.35,
327,NCF0136,,NTT,,10,,,2.47,2.06,,Plain,0.33,
328,NCF0138,,NTT,,10,,,3.6,3.01,,Plain,0.78,
329,NCF0139,,NTT,,10,,,1.89,1.58,,Plain,0,0
330,NCF0140,,NTT,,15,,,2.59,2.16,,Plain,0,0
331,NCF0141,,NTT,,11,,,3.42,3.19,,Plain,0.59,
332,NCF0142,,NTT,,11,,,2.06,1.92,,Plain,0.39,
333,NCF0143,,NTT,,11,,,1.63,1.52,,Plain,0.42,
334,NCF1002,,NCM/NCF,,11,,,2.42,2.22,3.2,Pattern,0.005,
