ProductId,design_code,name,category,diameter,ring_size,base_thickness,base_width,prongs_height
405.0,NCC2034,,Nhẫn cưới,,M.18-F.14,,,
406.0,NCC2035,,Nhẫn cưới,,M.16-F.08,,,
407.0,NCC2036,,Nhẫn cưới,,M.14-F.14,,,
408.0,NCC2037,,Nhẫn cưới,,M.15-F.09,,,
409.0,NCC2038,,Nhẫn cưới,,M.16-F.08,,,
410.0,NCC2039,,Nhẫn cưới,,M.15-F.10,,,
411.0,NCC2040,,Nhẫn cưới,,M.18-F.11,,,
412.0,NCC2041,,Nhẫn cưới,,M.16-F.9.5,,,
413.0,NCC2042,,Nhẫn cưới,,M.14-F.08,,,
414.0,NCC2043,,Nhẫn cưới,,M.18-F.10,,,
415.0,NCC2044,,Nhẫn cưới,,M.15-F.10,,,
416.0,NCC2045,,Nhẫn cưới,,M.15-F.10,,,
417.0,NCC2047,,Nhẫn cưới,,M.14-F.10,,,
418.0,NCC2048,,Nhẫn cưới,,M.14-F.09,,,
419.0,NCC2049,,Nhẫn cưới,,M.15-F.10,,,
420.0,NCC2053,,Nhẫn cưới,,M.17-F.12,,,
421.0,NCC2054,,Nhẫn cưới,,M.15-F.10,,,
422.0,NCC2055,,Nhẫn cưới,,M.16-F.11,,,
423.0,NCC2058,,Nhẫn cưới,,M.14-F.11.5,,,
424.0,NCC2059,,Nhẫn cưới,,M.17-F.11,,,
425.0,NCC2061,,Nhẫn cưới,,M.17-F.11,,,
426.0,NCC2062,,Nhẫn cưới,,M.16-F.10,,,
427.0,NCC2065,,Nhẫn cưới,,M.15-F.10,,,
428.0,NCC2066,Star Light,Nhẫn cưới,,M.19.5-F.12,,,
429.0,NCC2070,Our Day,Nhẫn cưới,,M.19.5-F.12,,,
430.0,NCC2071,,Nhẫn cưới,,M.15-F.10,,,
431.0,NCC2079,Petal of Joy ,Nhẫn cưới,,M.18-F.12,,,
