ProductId,main_gemstone_shape,main_gemstone_size,gold_18k_weight,gold_14k_weight,plat_900_weight,surface_plain_pattern,catalogue_color
360.0,,   ,   ,   ,   , Pattern , Vàng 
361.0,,   ,   ,   ,   , Plain , Trắng-Vàng 
362.0,,   ,   ,   ,   , Plain , Trắng-Vàng 
363.0,,   ,   ,   ,   , Plain , Phối màu 
364.0,,   ,   ,   ,   , Pattern , Trắng-Vàng 
365.0,,   ,   ,   ,   , Pattern , Trắng-Vàng 
366.0,,   ,   ,   ,   , Pattern , Vàng 
367.0,,   ,   ,   ,   , Pattern , Trắng-Vàng 
368.0,,   ,   ,   ,   , Pattern , Trắng-Vàng 
369.0,,   ,   ,   ,   , Pattern , Vàng 
370.0,,   ,   ,   ,   , Pattern , Trắng-Vàng 
371.0,,   ,   ,   ,   , Pattern , Trắng-Vàng 
372.0,,   ,   ,   ,   , Plain , Trắng-Hồng 
373.0,,   ,   ,   ,   , Plain , Trắng 
374.0,,   ,   ,   ,   , Plain , Hồng 
375.0,,   ,   ,   ,   , Pattern , Hồng 
376.0,,   ,   ,   ,   , Plain , Trắng 
377.0,,   ,   ,   ,   , Plain , Phối màu 
378.0,,   ,   ,   ,   , Plain , Phối màu 
379.0,,   ,   ,   ,   , Plain , Trắng 
380.0,,   ,   ,   ,   , Plain , Phối màu 
381.0,,   ,   ,   ,   , Plain , Trắng 
382.0,,   ,   ,   ,   , Plain , Trắng 
383.0,,   ,   ,   ,   , Pattern , Hồng 
384.0,,   ,   ,   ,   , Plain , Hồng 
385.0,,   ,   ,   ,   , Plain , Vàng 
386.0,,   ,   ,   ,   , Plain , Trắng 
387.0,,   ,   ,   ,   , Plain , Trắng-Hồng 
388.0,,   ,   ,   ,   , Pattern , Trắng 
389.0,,   ,   ,   ,   , Plain , Phối màu 
390.0,,   ,   ,   ,   , Plain , Hồng 
391.0,,   ,   ,   ,   , Plain , Trắng 
392.0,,   ,   ,   ,   , Plain , Trắng 
393.0,,   ,   ,   ,   , Plain , Trắng 
394.0,,   ,   ,   ,   , Plain , Trắng 
395.0,,   ,   ,   ,   , Plain , Trắng 
396.0,,   ,   ,   ,   , Pattern , Trắng 
397.0,,   ,   ,   ,   , Plain , Hồng 
398.0,,   ,   ,   ,   , Plain , Trắng 
399.0,,   ,   ,   ,   , Plain , Trắng-Hồng 
