ProductId,design_code,name,category,diameter,ring_size,base_thickness,base_width,prongs_height,status
320,NCC0029,Twisted Love,Nhẫn cưới,,M.15-F.9,,,,Active
321,NCC0036,,Nhẫn cưới,,M.19.5-F.12,,,,Active
322,NCC0040,,Nhẫn cưới,,M.19-F.12,,,,Active
323,NCC0041,,Nhẫn cưới,,M.16-F.11,,,,Active
324,NCC0042,Petal of Joy,Nhẫn cưới,,"M.18,5-F.12",,,,Active
325,NCC0043,Petal of Joy,Nhẫn cưới,,M.18-F.12,,,,Active
326,NCC0044,Petal of Love,Nhẫn cưới,,M.18-F.11,,,,Active
327,NCC0045,Petal of Love,Nhẫn cưới,,M.18-F.11,,,,Active
328,NCC0046,Petal of Happiness,Nhẫn cưới,,M.18-F.11,,,,Active
329,BNC1012,,Nhẫn cưới,,M.19-F.11,,,,Active
330,NCC1003,,Nhẫn cưới,,M.20-F.11,,,,Active
331,BNC1004,,Nhẫn cưới,,M.21-F.11,,,,Active
332,NCC1005,,Nhẫn cưới,,M.18.5-F.16.5,,,,Active
333,BNC1006,,Nhẫn cưới,,M.19-F.10.5,,,,Active
334,NCC1007,,Nhẫn cưới,,M.20-F.10,,,,Active
335,NCC1008,,Nhẫn cưới,,M.15-F.09,,,,Active
336,NCC1009,,Nhẫn cưới,,M.16-F.08,,,,Active
337,NCC1010,,Nhẫn cưới,,M.14-F.10,,,,Active
338,NCC1011,,Nhẫn cưới,,M.22-F.10.5,,,,Active
339,NCC1014,,Nhẫn cưới,,M.17-F.08,,,,Active
340,NCC1015,,Nhẫn cưới,,M.17-F.08,,,,Active
341,NCC1016,,Nhẫn cưới,,M.17-F.08,,,,Active
342,BNC1017,,Nhẫn cưới,,M.17-F.08,,,,Active
343,NCC1018,,Nhẫn cưới,,M.16-F.09,,,,Active
344,NCC1019,,Nhẫn cưới,,M.22-F.12,,,,Active
345,NCC1020,,Nhẫn cưới,,M.17-F.08,,,,Active
346,NCC1021,,Nhẫn cưới,,M.16-F.08,,,,Active
347,NCC1022,,Nhẫn cưới,,M.16-F.08,,,,Active
348,NCC1023,,Nhẫn cưới,,M.18-F.08,,,,Active
349,BNC1024,,Nhẫn cưới,,M.17-F.10,,,,Active
350,NCC1025,,Nhẫn cưới,,M.17-F.11,,,,Active
351,NCC1027,,Nhẫn cưới,,M.16-F.11,,,,Active
352,NCC1028,,Nhẫn cưới,,M.17-F.11,,,,Active
353,NCC1036,,Nhẫn cưới,,"M.18,5-F.11",,,,Active
354,NCC1037,,Nhẫn cưới,,M.18-F.10,,,,Active
355,NCC1038,,Nhẫn cưới,,M.15-F.10,,,,Active
356,NCC1039,,Nhẫn cưới,,M.14-F.10,,,,Active
357,NCC1040,,Nhẫn cưới,,M.14-F.11,,,,Active
358,NCC1041,,Nhẫn cưới,,M.13-F.09,,,,Active
359,NCC1042,,Nhẫn cưới,,M.16-F.11,,,,Active
360,NCC1043,,Nhẫn cưới,,M.19-F.11,,,,Active
361,NCC1044,,Nhẫn cưới,,M.19-F.11,,,,Active
362,NCC1046,,Nhẫn cưới,,M.19-F.11,,,,Active
363,NCC1047,,Nhẫn cưới,,M.19-F.10,,,,Active
364,NCC1048,,Nhẫn cưới,,M.19-F.10,,,,Active
365,NCC2001,,Nhẫn cưới,,M.16-F.08,,,,Active
366,NCC2004,,Nhẫn cưới,,M.24-F.12,,,,Active
367,NCC2006,,Nhẫn cưới,,M.20-F.10,,,,Active
368,NCC2008,,Nhẫn cưới,,M.16-F.10,,,,Active
369,NCC2014,,Nhẫn cưới,,M.18-F.08,,,,Active
370,NCC2016,,Nhẫn cưới,,M.20-F.10,,,,Active
371,NCC2021,,Nhẫn cưới,,M.20-F.10,,,,Active
372,NCC2024,,Nhẫn cưới,,M.20-F.10,,,,Active
373,NCC2028,,Nhẫn cưới,,M.15-F.10,,,,Active
374,NCC2030,,Nhẫn cưới,,M.16-F.10,,,,Active
375,NCC2032,,Nhẫn cưới,,M.18-F.10,,,,Active
376,NCC2037,,Nhẫn cưới,,M.15-F.09,,,,Active
377,NCC2039,,Nhẫn cưới,,M.15-F.10,,,,Active
378,NCC2042,,Nhẫn cưới,,M.14-F.08,,,,Active
379,NCC2043,,Nhẫn cưới,,M.18-F.10,,,,Active
380,NCC2047,,Nhẫn cưới,,M.14-F.10,,,,Active
381,NCC2049,,Nhẫn cưới,,M.15-F.10,,,,Active
382,NCC2054,,Nhẫn cưới,,M.15-F.10,,,,Active
383,NCC2055,,Nhẫn cưới,,M.16-F.11,,,,Active
384,NCC2058,,Nhẫn cưới,,M.14-F.11.5,,,,Active
385,NCC2059,,Nhẫn cưới,,M.17-F.11,,,,Active
386,NCC2065,,Nhẫn cưới,,M.15-F.10,,,,Active
387,NCC2071,,Nhẫn cưới,,M.15-F.10,,,,Active
388,NCC2079,Petal of Joy,Nhẫn cưới,,M.18-F.12,,,,Active
389,NCC2081,Petal of Happiness,Nhẫn cưới,,M.18-F.11,,,,Active
390,NCC2090,,Nhẫn cưới,,M.15-F.11,,,,Active
391,NCC2091,,Nhẫn cưới,,M.19-F.11,,,,Active
392,NCC2092,,Nhẫn cưới,,M.19-F.11,,,,Active
393,NCC2093,,Nhẫn cưới,,M.18.5-F.8.5,,,,Active
394,NCC3002,,Nhẫn cưới,,M.25-F.07,,,,Active
395,NCC3005,,Nhẫn cưới,,M.17.5-F.8,,,,Active
396,NCC3008,,Nhẫn cưới,,M.20-F.10,,,,Active
397,NCC3010,,Nhẫn cưới,,M.12-F.09,,,,Active
398,NCC3011,,Nhẫn cưới,,M.18-F.10,,,,Active
399,NCC3013,,Nhẫn cưới,,M.15-F.10,,,,Active
400,NCC3026,,Nhẫn cưới,,M.16-F.08,,,,Active
401,NCC3030,Love Life,Nhẫn cưới,,M.18-F.11.5,,,,Active
402,NCC5001,,Nhẫn cưới,,M.18-F.11,,,,Active
403,NCC5002,,Nhẫn cưới,,M.19-F.10,,,,Active
404,NCC5003,,Nhẫn cưới,,M.16-F.09,,,,Active
405,NCC5004,,Nhẫn cưới,,M.15-F.10,,,,Active
406,NCC5005,,Nhẫn cưới,,M.15-F.10,,,,Active
407,NCC5006,,Nhẫn cưới,,M.17-F.09,,,,Active
408,NCC5008,,Nhẫn cưới,,M.15-F.08,,,,Active
409,NCC5009,,Nhẫn cưới,,M.12-F.12,,,,Active
410,BNC7001,Always You,Nhẫn cưới,,M.13.5-F.11,,,,Active
411,NCC7002,Perfect Half,Nhẫn cưới,,M.19-F.11,,,,Active
412,NCC7003,Infinity Us,Nhẫn cưới,,M.19-F.11,,,,Active
413,NCC7004,In My Heart,Nhẫn cưới,,M.18-F.11.5,,,,Active
414,BNC7005,Mr & Mrs. Right,Nhẫn cưới,,M.17.5-F.11,,,,Active
415,BNC7006,All My Life,Nhẫn cưới,,M.18-F.10,,,,Active
416,BNC7007,Definitely You,Nhẫn cưới,,M.18-F.09,,,,Active
417,BNC7008,Destiny Hallf,Nhẫn cưới,,M.13.5-F.11,,,,Active
